station_no,station_name,lat,lon
115217,"Dipple",57.61125291,-3.115476523
336517,"Dipple G",57.61186846,-3.121035659
234200,"Diriebught House",57.47804173,-4.207153032
115554,"Doonholm",55.42359077,-4.626552148
234202,"Dosmucheran",57.59587318,-5.005770119
133183,"Dow Craig",55.37721095,-4.306229017
133078,"Dreghorn",55.61141199,-4.619377401
464646,"Drum",56.18484641,-3.532323684
115556,"Drumgrain",55.81263002,-4.299507819
378644,"Drumine BH2 Brackley Junction West",57.53996233,-4.012984897
115557,"Drumjohn",55.24992466,-4.32205779
133154,"Drumlanrig",55.27462204,-3.799524299
377134,"Drummore of Cantray",57.48325079,-4.006176025
133080,"Dryfield",55.93891825,-4.182216743
14904,"Duchray",56.15649685,-4.468109175
554833,"Duchray Water",56.19275854,-4.564061145
15216,"Dunbar",56.00371307,-2.52752897
523237,"Dunblane Raingauge",56.1879233406661,-3.97480791123526
459910,"Duncow Deep Obs BH Dumfries",55.13399663,-3.626265673
459909,"Duncow Shallow Obs BH",55.13399663,-3.626265673
530175,"Dundreggan Rain Gauge",57.19161541,-4.767634199
115220,"Dunecht House",57.15982303,-2.413150255
15208,"Dunglass",55.94267446,-2.38288136
115558,"Dungrianach",56.55231051,-5.319559821
115559,"Dunlop",55.70737993,-4.528674906
509196,"Dunnottar Radio Station",56.94652496,-2.21202446
15180,"Dunnswood STW (Cumbernauld)",55.97221885,-3.954505606
234206,"Dunphail",57.51151031,-3.661788536
365257,"Dunstaffnage",56.45050242,-5.439870612
234207,"Durkadale",59.10852817,-3.232172832
568155,"Earlsburn reservoir RG",56.07055238,-4.07597911
14997,"Earlston",55.64075254,-2.691879301
133081,"Eas Daimh",56.40771881,-4.855886468
115560,"East Kilbride",55.75477386,-4.171759227
335659,"East Lathrisk Borehole",56.25925553,-3.157913027
14870,"East Linton",55.98249658,-2.657198972
379371,"Easter Balgedie Farm Obs BH Kinross",56.22105625,-3.337335332
371826,"Easter Langlee Landfill BH 08-03S",55.6210024840135,-2.77025869507769
234209,"Easter Turnaig",57.96185041,-4.700859639
15201,"Edinburgh RBG (Royal Botanic Garden)",55.96662337,-3.212310737
133083,"Eglinton Castle",55.64280886,-4.677656958
492363,"Einig Wood",57.94421601,-4.764511928
115562,"Eliock",55.34583036,-3.899113859
234210,"Ellon",57.36377128,-2.090017282
368495,"Elphin",58.05185192,-5.03101345
14905,"Elrig",56.15679797,-4.46563232
377135,"Erchless",57.42804453,-4.623845183
511674,"Eriskay Tide Gauge",57.07060705,-7.309059721
15100,"Eskdalemuir Observatory",55.31151326,-3.206798775
115221,"Esslemont House",57.36510966,-2.112363417
115563,"Ettrick Bay",55.85650223,-5.145834193
15017,"Eyemouth Mill",55.8651192,-2.095026904
525180,"Eyemouth Tide Gauge",55.87284359,-2.08638411
378262,"Faich Bhiorach",57.69020841,-5.660695458
133084,"Fairholm",55.74419908,-3.986819701
234215,"Fasnakyle",57.31811088,-4.799267396
14895,"Fauld Mill",56.11140757,-3.748668124
300349,"Feddan Junction",57.58762215,-3.726167556
234217,"Feshie Bridge",57.11889938,-3.901082854
133155,"Fiddlers Ford",55.09849668,-3.680572053
15151,"Fife Airport",56.1816502,-3.222449068
234218,"Firhall",57.57160708,-3.869783835
336233,"Fiskavaig",57.32000886,-6.434954871
115339,"Flichity",57.33128618,-4.221750189
336372,"Forehill",57.50635026,-1.843281987
15044,"Forfar STW",56.64119141,-2.909780321
234221,"Forres",57.60477145,-3.644084919
115340,"Forsinain",58.41100711,-3.873563607
14948,"Forter",56.76674681,-3.332205729
14970,"Forteviot Bridge",56.34759942,-3.548359476
534520,"Fortingall - Croftgarrow",56.593023140423,-4.0761125325504
15097,"Foss Mine",56.66693001,-3.931196097
14991,"Fountainhall",55.73663595,-2.905930746
115565,"Fourmerkland",55.1650788,-3.412506453
498342,"Foyers",57.26265002,-4.483020773
552790,"Frenich Farm",56.22694162,-4.56047225
133156,"Friars Carse",55.14868484,-3.690747738
133086,"Gaidrew",56.04809931,-4.434505213
559194,"Gairlochy",56.91442441,-4.991445495
115223,"Gairnshiel",57.09199509,-3.165582141
9683,"Galashiels",55.62706185,-2.827709454
14892,"Gargunnock",56.13266077,-4.070571402
301168,"Garls Craig",55.36599829,-3.616030256
464495,"Garrogie Lodge",57.17006125,-4.442843871
368014,"Garthdee",57.11882365,-2.124396574
15165,"Gartmore (Glenhead)",56.14359903,-4.384422431
234225,"Garve",57.61669586,-4.688028816
115568,"Gatelawbridge",55.25076797,-3.730683565
15051,"Gateside No 2",56.26981667,-3.320837992
14916,"Gella Bridge",56.77535832,-3.027929218
474984,"Gifford Rain Gauge",55.89043578,-2.768969478
15114,"Gilston",55.80025456,-2.883463821
133137,"Girvan Tide Gauge",55.24404201,-4.859673631
15204,"Gladhouse Reservoir",55.7784118,-3.117398754
17068,"Glamis Castle (Drift)",56.62728426,-3.017607865
17067,"Glamis Castle (Solid)",56.62727528,-3.017607623
17066,"Glamis Petrol Station",56.6054023,-3.002749238
581106,"Glassgreen",57.63198387,-3.296482414
335745,"Glen Ample",56.35457736,-4.269993694
115343,"Glen Nevis",56.79923208,-5.067543348
133087,"Glen Orchy",56.44657591,-4.852749436
133088,"Glen Strae",56.42522107,-5.000795867
368490,"Glenbreck",55.48202196,-3.477754728
115344,"Glendessary",56.98039082,-5.346337447
133089,"Glenfalloch",56.33773623,-4.717635246
83013,"Glenfield",55.60118281,-4.493559809
536846,"Glengavel Reservoir",55.59038124,-4.121595498
520118,"Glenkindie No 2",57.2173768986597,-2.95433487436206
133157,"Glenlochar",54.95554151,-3.979143444
327238,"Glenmavis",55.89359141,-4.013210328
234227,"Glenmeanie",57.53261438,-4.863772899
115225,"Glenmore Lodge No 2",57.16421784,-3.677609728
367371,"Glenmuick No2",56.95161175,-3.141253355
14891,"Glenochil",56.14364525,-3.839304837
464636,"Glenquey",56.20739317,-3.642080305
115226,"Glenrinnes Knowe",57.4052084,-3.184950902
15196,"Gogarbank",55.92834002,-3.342742573
14984,"Gordon Arms",55.51137227,-3.096406906
15138,"Gordon Hospital",55.68228917,-2.544391507
363624,"Gourock Tide Gauge",55.96030471,-4.814267835
234228,"Grange",57.54279921,-2.847774986
601515,"Granish Landfill BH GW2",57.2133539663088,-3.81396741135781
234229,"Grantown",57.32177064,-3.606725707
15015,"Grantshouse",55.88238352,-2.292035856
518372,"Graystone Bridge",56.0675405,-4.282616591
133158,"Green Burn",55.0828864,-4.381888551
115348,"Greenland",58.58319519,-3.296244677
327292,"Greenock",55.94370132,-4.723991358
133159,"Greensands",55.06942626,-3.617944341
336403,"Gretna (Douglas Tanks)",55.013004,-3.079745767
15210,"Gullane (Golf Course)",56.03443649,-2.836971165
14924,"Guthrie",56.64274771,-2.706028939
15226,"Haddington STW",55.96050923,-2.75022457
234231,"Halkirk",58.5154974,-3.493004244
133160,"Hall Bridge",55.39297897,-4.079109518
234232,"Halladale",58.47881083,-3.90301916
15105,"Hallmanor House",55.60307614,-3.255418017
133092,"Happendon",55.5801981,-3.816796943
335614,"Harelaw",55.91651494,-3.086776845
15131,"Harelaw Chirnside",55.81194693,-2.199504911
15200,"Harperrig",55.83652095,-3.435270947
335640,"Hatton (Perth)",56.52513594,-2.648539891
115227,"Hatton No 2",57.42757524,-1.909678484
234235,"Haughton",57.27134676,-2.404963889
15001,"Hawick",55.43447121,-2.756965079
15121,"Hawick Sewage Works",55.43132729,-2.772596975
133093,"Hawkhead",55.83606531,-4.398537371
133094,"Hazelbank",55.68735585,-3.854153414
115582,"Hazelwood Cottage",56.26715284,-5.494662553
14886,"Headswood",56.01500087,-3.875456793
8402,"Hermitage",56.5609809,-3.607201681
234237,"Heugh Head",57.02524569,-2.517160888
15166,"High Corrie (Gartmore)",56.1262023,-4.446294544
300351,"Hill of Fearn farm",57.76516209,-3.936363039
133096,"Hoodston Bridge",55.60122684,-4.428249956
559081,"Hottsbridge",55.09041993,-3.167804617
322555,"Howard Park",55.60465827,-4.499004047
15127,"Hungry Snout 2 (Whiteadder Reservoir)",55.86194126,-2.539680781
469625,"Hunterston Terminal",55.74447583,-4.86116797
369548,"Huntly GS",57.45498575,-2.807560217
15020,"Hutton Castle",55.7889,-2.1917
115584,"Hydro Gardens Moffat",55.34214596,-3.452988353
115353,"Inchnadamph No 2",58.1536532,-4.979030308
115354,"Inchvuilt",57.40830735,-4.957620811
115585,"Ingleston Farm",54.81170556,-4.166358356
14981,"Innerleithen",55.61992749,-3.061056074
115229,"Insch No 2",57.34247484,-2.616879972
336367,"Inshes",57.45203372,-4.184715941
234240,"Inveran",57.94318903,-4.410383325
234241,"Inverbervie",56.85144056,-2.286119413
234242,"Inverbroom",57.81047099,-5.058237756
115356,"Inverewe Garden",57.77399694,-5.596995718
115230,"Inverey",56.98569953,-3.500915775
234243,"Invergairn",57.05992614,-3.069535364
371579,"Inveriscandye",56.79987798,-2.626620926
535718,"Inverlaidnan Bridge",57.26705143,-3.883273172
133097,"Inverlochy",56.40496092,-4.923669812
14926,"Invermark",56.91121364,-2.914811966
234247,"Invermuick",57.03951544,-3.049304978
354624,"Inveroykel Bailey Bridge",57.97362007,-4.604090887
234248,"Invertruim",57.04053804,-4.164639706
234249,"Inverugie",57.52669115,-1.832792272
115588,"Inveruglas",56.2473573,-4.71287133
367365,"Inverurie",57.2583172,-2.362253256
335641,"Inzion",56.68930326,-3.177597556
115589,"Irvine Gailes",55.58754361,-4.663320263
327231,"Irvine Waterside",55.61682305,-4.674740715
341495,"Ivy Bridge",57.31837309,-4.497591991
15006,"Jedburgh",55.48529122,-2.54668704
541725,"Jedburgh Castle",55.47029248,-2.557045815
559082,"Johnstonehall",55.06482387,-3.221128314
367360,"Keith",57.55084994,-2.952079018
532820,"Kelly Den - Arbilot",56.55248062,-2.640451372
14929,"Kemback",56.3309034,-2.948442952
